22.88,2.81,40.63,21.26,Avocado
17.28,2.75,48.33,44.65,Avocado
21.13,6.63,32.62,39.51,Avocado
21.02,3.88,23.01,25.36,Avocado
22.0,3.67,48.05,29.3,Avocado
17.65,4.22,45.9,40.66,Avocado
14.19,5.64,39.75,31.34,Avocado
21.17,6.04,27.29,35.43,Avocado
17.58,5.03,45.8,31.56,Avocado
15.09,3.81,42.33,42.1,Avocado
24.61,4.54,26.61,41.83,Avocado
22.31,4.64,31.02,35.19,Avocado
17.67,4.71,26.08,20.11,Avocado
16.8,6.45,21.29,33.75,Avocado
13.48,3.04,49.42,23.82,Avocado
23.79,7.45,27.47,21.75,Avocado
14.18,5.29,40.57,28.58,Avocado
23.28,3.51,41.36,38.51,Avocado
20.84,5.26,24.52,33.3,Avocado
19.39,3.77,32.81,43.84,Avocado
14.55,4.49,21.57,25.43,Avocado
12.85,5.49,25.32,25.59,Avocado
17.56,7.01,42.6,34.68,Avocado
12.88,3.91,25.59,31.13,Avocado
24.3,4.61,43.81,35.1,Avocado
16.18,3.65,25.5,26.55,Avocado
13.16,3.47,23.17,44.24,Avocado
20.64,5.53,33.24,39.18,Avocado
15.83,5.39,25.34,44.52,Avocado
23.43,6.81,28.76,26.07,Avocado
21.96,7.18,29.01,36.3,Avocado
14.21,4.08,22.68,31.94,Avocado
25.0,7.29,39.99,38.27,Avocado
22.58,6.05,43.78,30.86,Avocado
12.72,6.46,48.5,37.63,Avocado
21.52,7.16,46.66,32.8,Avocado
20.26,5.92,21.64,28.31,Avocado
24.32,3.22,46.59,42.89,Avocado
17.33,6.33,26.79,40.71,Avocado
16.06,5.32,30.28,40.64,Avocado
21.57,3.01,36.93,33.72,Avocado
12.57,4.0,24.42,41.42,Avocado
14.69,7.1,36.51,25.2,Avocado
12.53,3.64,25.17,29.4,Avocado
14.96,6.24,31.95,41.11,Avocado
19.56,4.2,21.98,31.78,Avocado
24.68,5.64,23.17,22.41,Avocado
13.87,4.75,41.31,24.1,Avocado
18.06,4.8,34.42,20.8,Avocado
16.93,4.11,38.37,21.92,Avocado
17.83,5.35,36.27,20.26,Clover
22.24,6.85,27.62,40.68,Clover
19.33,6.11,41.47,36.4,Clover
17.19,5.56,43.73,38.24,Clover
15.73,4.25,34.59,22.09,Clover
23.24,3.42,37.63,36.91,Clover
22.68,5.11,49.17,37.33,Clover
18.48,4.9,22.19,33.83,Clover
20.08,3.23,34.12,42.22,Clover
19.5,5.62,25.85,32.46,Clover
17.09,4.4,25.98,36.28,Clover
18.33,5.58,22.85,33.24,Clover
16.99,7.16,25.46,23.07,Clover
19.63,6.26,41.31,26.49,Clover
24.53,7.21,29.13,39.74,Clover
21.63,3.88,39.98,28.1,Clover
20.03,4.14,45.05,42.87,Clover
16.1,4.19,28.58,34.16,Clover
15.83,4.61,33.59,44.0,Clover
24.58,5.43,45.77,32.55,Clover
12.49,5.94,32.6,43.85,Clover
17.67,6.45,37.24,29.86,Clover
23.68,4.12,41.54,33.18,Clover
24.33,3.74,46.69,32.27,Clover
22.53,3.42,28.71,42.68,Clover
17.94,7.22,31.9,23.25,Clover
14.11,5.94,31.33,24.78,Clover
20.17,3.61,32.76,32.64,Clover
12.6,3.61,38.95,31.92,Clover
21.68,7.45,37.15,32.71,Clover
12.33,4.85,23.28,34.91,Clover
15.21,2.54,46.62,38.1,Clover
